model,baseline_f1_macro,tuned_f1_macro,improvement
Logistic Regression,0.9229932636981534,0.9268857277022475,0.003892464004094154
XGBoost,0.8374136896052502,0.8617362101544632,0.024322520549213023
Random Forest,0.7391348488662901,0.7828220720093382,0.04368722314304807
Decision Tree,0.668178599717818,0.7367071096889711,0.06852850997115312
